"","Var1","Freq"
"1","-14.2426248012032",1
"2","-10.1896067301206",1
"3","-9.72277075121864",1
"4","-9.07604662441575",1
"5","-7.69985854613549",1
"6","-7.61793848400337",1
"7","-6.58041050437594",1
"8","-5.82149931541054",1
"9","-5.79528941038738",1
"10","-5.3950103445012",1
"11","-4.70180889983724",1
"12","-4.25359248884081",1
"13","-3.7372960678635",1
"14","-3.2115401028151",1
"15","-3.20025333377636",1
"16","-3.11061627459602",1
"17","-2.86155447113173",1
"18","-2.28854497217185",1
"19","-1.65522583229799",1
"20","-1.51871516635449",1
"21","-1.31524573559087",1
"22","-1.17030012130218",1
"23","-1.01472649959854",1
"24","-0.969984658055103",1
"25","-0.915248874227192",1
"26","-0.826642407271004",1
"27","-0.453856888762833",1
"28","-0.222818352878491",1
"29","-0.0554757028130024",1
"30","-0.0288688362552314",1
"31","0.72896175447156",1
"32","0.949373959321867",1
"33","1.01754881427141",1
"34","1.20386841664132",1
"35","1.2417834879667",1
"36","1.44599572254745",1
"37","1.57908739050501",1
"38","1.63220704285759",1
"39","1.69142119071241",1
"40","1.90541193706798",1
"41","2.13489046947605",1
"42","2.62296958204477",1
"43","2.73650169985167",1
"44","2.83758334720425",1
"45","2.84490140956378",1
"46","2.93524498161012",1
"47","3.01207759081558",1
"48","3.03804318658996",1
"49","3.30566145299745",1
"50","3.626794232856",1
"51","3.7829948608377",1
"52","3.83899747822311",1
"53","4.17615769148812",1
"54","4.19536501495529",1
"55","4.32660025876208",1
"56","4.5473935908946",1
"57","4.5963509047086",1
"58","4.82453016359462",1
"59","4.89158161229327",1
"60","5.43975666747879",1
"61","5.49161007474762",1
"62","5.61441263503446",1
"63","5.69744200209711",1
"64","5.87832097538379",1
"65","6.39991638545448",1
"66","6.66684310909551",1
"67","6.8265565575051",1
"68","7.10563850100744",1
"69","7.31433587833233",1
"70","8.28791802115874",1
"71","8.45965246473267",1
"72","9.8656882241949",1
"73","10.5043764520728",1
"74","11.3921424805211",1
"75","11.6054295690201",1
"76","11.6575908095333",1
"77","12.2770107910166",1
"78","13.0360843690104",1
"79","14.115339645161",1
"80","14.1202239846429",1
"81","14.1433279472968",1
"82","14.1794244638187",1
"83","14.7287739010728",1
"84","14.7657954412521",1
"85","15.0026716457923",1
"86","15.1469150845131",1
"87","16.1202216007296",1
"88","16.2366996637425",1
"89","16.3019244726406",1
"90","16.5255954482673",1
"91","16.6237066797656",1
"92","17.773342790276",1
"93","18.014141921128",1
"94","18.0170328595278",1
"95","18.1769193750091",1
"96","18.3290577513701",1
"97","18.4981767591704",1
"98","18.5101876014708",1
"99","18.625280579677",1
"100","18.8861643421993",1
"101","19.1966614666379",1
"102","19.2375007689598",1
"103","19.9850430413712",1
"104","20.3545442102671",1
"105","20.3683347251177",1
"106","20.6517163516183",1
"107","20.7038621624022",1
"108","20.8753156537788",1
"109","20.9409516458689",1
"110","20.9466448255528",1
"111","21.0613670857189",1
"112","21.2905638020349",1
"113","21.377067819407",1
"114","21.8302871419089",1
"115","22.5961381779101",1
"116","22.6047894148527",1
"117","23.5149049258227",1
"118","24.0552372777297",1
"119","24.3093031061011",1
"120","24.4583165019395",1
"121","24.4587698126275",1
"122","24.5714746815274",1
"123","24.5836518817709",1
"124","24.8131482214733",1
"125","25.336454923244",1
"126","25.7915202926802",1
"127","26.339380780273",1
"128","26.7003246680033",1
"129","27.0401423330717",1
"130","27.216420324443",1
"131","27.2641755296059",1
"132","27.7342593352148",1
"133","28.2726078778231",1
"134","28.3766372482523",1
"135","29.0313500083572",1
"136","29.2229215145228",1
"137","30.5879603013806",1
"138","33.0076203485793",1
"139","38.1631137641595",1
"140","38.9379587351947",1
